file_name,entropy_of_text,macro_chr_count,macro_vocab_size,macro_arithmetic_operator_count,macro_token_count,macro_max_line_length,remote_template_present,numeric_cell_count,string_cell_count,avg_cell_length,label
benign_sample_5948.xlsx,5.750647763219451,141,17502,16595,17502,38,1,15723,31138,11.14150359574059,0
benign_sample_920.xlsx,5.760479813569615,24,7764,2952,7764,37,1,2864,5636,11.096,0
benign_sample_8964.xlsx,5.748361131485478,186,18448,20219,18448,39,1,18794,37954,11.15968844716994,0
benign_sample_1244.xlsx,5.751133596342554,270,19993,30353,19993,38,1,29131,57915,11.15032281782046,0
benign_sample_3591.xlsx,5.749022050708459,144,17489,16528,17489,37,1,15544,31346,11.16958839837918,0
benign_sample_1848.xlsx,5.744516719344875,11,3854,1073,3854,34,1,1032,2102,11.21442246330568,0
benign_sample_9322.xlsx,5.740866407356907,17,3535,1073,3535,36,1,967,1889,11.13620448179272,0
benign_sample_7679.xlsx,5.73787428992705,28,8471,3425,8471,37,1,3284,6435,11.055046815516,0
benign_sample_5626.xlsx,5.753045389317131,74,12930,7408,12930,40,1,7064,14150,11.16597529933063,0
benign_sample_5950.xlsx,5.747420383263179,93,15182,10749,15182,37,1,10365,20302,11.11866175367659,0
benign_sample_1329.xlsx,5.76773475858498,4,1300,287,1300,31,1,302,548,11.36117647058824,0
benign_sample_6338.xlsx,5.747287387803083,46,11904,6426,11904,39,1,5992,12182,11.16369538901728,0
benign_sample_4590.xlsx,5.746999546826207,179,18255,19441,18255,39,1,18054,36639,11.18194284460534,0
benign_sample_9252.xlsx,5.749391395444574,29,8786,3668,8786,38,1,3370,6978,11.2193660610746,0
benign_sample_6974.xlsx,5.753093519888839,62,12173,6563,12173,38,1,6214,12483,11.25266085468257,0
benign_sample_3631.xlsx,5.7740088014916,9,3358,869,3358,36,1,893,1746,10.96665403561955,0
benign_sample_4548.xlsx,5.74484473399368,20,7277,2750,7277,35,1,2601,5137,11.00129232359783,0
benign_sample_9036.xlsx,5.757842861000357,30,7331,2763,7331,37,1,2544,5237,11.22606348798355,0
benign_sample_1363.xlsx,5.760215286258571,17,5884,1970,5884,37,1,1853,3766,11.14468766684463,0
benign_sample_8514.xlsx,5.736575745495522,38,8890,3710,8890,36,1,3545,7025,11.09933774834437,0
benign_sample_318.xlsx,5.761991981723956,68,13921,8516,13921,38,1,8396,16710,11.18378076953716,0
benign_sample_9040.xlsx,5.76578104438913,68,13152,7765,13152,37,1,7290,14770,11.21047144152312,0
benign_sample_5820.xlsx,5.752780805073097,161,18038,18293,18038,42,1,17359,34544,11.14349844902992,0
benign_sample_6466.xlsx,5.739356039884536,49,11158,5780,11158,38,1,5257,10814,11.17572024142866,0
benign_sample_8761.xlsx,5.752997648516393,288,20255,33982,20255,45,1,32368,64529,11.12999370465546,0
benign_sample_7305.xlsx,5.752045825256767,104,15458,11725,15458,37,1,10750,21854,11.23632069684701,0
benign_sample_6724.xlsx,5.752046678636058,118,15879,12265,15879,37,1,11587,23343,11.17732608073289,0
benign_sample_1286.xlsx,5.747468935387902,27,8013,3108,8013,38,1,2915,5900,11.19376063528077,0
benign_sample_5994.xlsx,5.748101187473229,48,11564,6021,11564,36,1,5666,11285,11.058580614713,0
benign_sample_1128.xlsx,5.75307453611098,114,15942,12447,15942,42,1,11619,23371,11.13718205201486,0
benign_sample_6033.xlsx,5.741685032076004,169,17757,17285,17757,43,1,16263,32573,11.12173396674584,0
benign_sample_2939.xlsx,5.754019747838883,26,9867,4546,9867,36,1,4106,8448,11.26708618766927,0
benign_sample_6040.xlsx,5.736919346733704,67,11514,6252,11514,36,1,5526,11422,11.11340571158839,0
benign_sample_656.xlsx,5.747747352805535,132,16811,14597,16811,38,1,13780,27524,11.17540674026729,0
benign_sample_7546.xlsx,5.751134238373409,188,18545,20842,18545,40,1,19458,39458,11.16676284880168,0
benign_sample_7593.xlsx,5.751038387759332,102,14405,9707,14405,42,1,8939,18167,11.24208662288792,0
benign_sample_8189.xlsx,5.750851358442787,132,16319,13379,16319,38,1,12764,25504,11.07016306052054,0
benign_sample_2967.xlsx,5.749486310498143,292,19717,27882,19717,40,1,26697,52758,11.13466742181109,0
benign_sample_3078.xlsx,5.752186237596749,14,5295,1735,5295,37,1,1626,3226,11.18178070898598,0
benign_sample_9108.xlsx,5.747470855076076,57,11740,6027,11740,39,1,5901,11562,11.09265303785146,0
benign_sample_8316.xlsx,5.748238856370237,219,18642,20833,18642,41,1,19742,39398,11.1387893134934,0
benign_sample_1188.xlsx,5.746295026330543,109,15469,11895,15469,41,1,10966,22265,11.1600914808462,0
benign_sample_7754.xlsx,5.742304981471611,24,5799,1883,5799,40,1,1813,3592,11.14338575393155,0
benign_sample_753.xlsx,5.747854901759215,144,17250,16179,17250,40,1,14875,30093,11.19287048567871,0
benign_sample_3232.xlsx,5.722574976691231,9,3938,1260,3938,36,1,1129,2218,10.92172094412907,0
benign_sample_7877.xlsx,5.749665023599397,205,19106,22453,19106,40,1,22011,43240,11.13877181958897,0
benign_sample_4324.xlsx,5.771340122572271,7,4817,1478,4817,36,1,1340,2860,11.46380952380952,0
benign_sample_9800.xlsx,5.748263847235881,38,10055,4508,10055,36,1,4365,8589,11.07704184035819,0
benign_sample_6571.xlsx,5.751149683731095,200,18792,21888,18792,39,1,20762,41534,11.14862912546552,0
benign_sample_7895.xlsx,5.751844786544704,109,16090,12858,16090,39,1,11978,24194,11.12208337940949,0
benign_sample_7928.xlsx,5.749858668136011,139,17049,14741,17049,44,1,14258,28153,11.18469265049162,0
benign_sample_1179.xlsx,5.715748188412975,8,3105,959,3105,38,1,800,1693,11.01885278780586,0
benign_sample_9972.xlsx,5.756097059064349,58,11542,5857,11542,39,1,5635,11014,11.07249684665746,0
benign_sample_3688.xlsx,5.757076089775437,63,10697,4903,10697,40,1,4839,9519,11.21569856525979,0
benign_sample_1576.xlsx,5.748388958296796,23,6116,2096,6116,34,1,1961,4005,11.11599061347637,0
benign_sample_7021.xlsx,5.745515082010683,174,18207,19316,18207,40,1,18078,36263,11.12714156898106,0
benign_sample_55.xlsx,5.74988353837343,117,16421,13558,16421,40,1,12683,25476,11.13941665137975,0
benign_sample_9953.xlsx,5.748674469676937,73,13073,7644,13073,38,1,7189,14571,11.21557904411765,0
benign_sample_4360.xlsx,5.742573016901107,36,8795,3775,8795,38,1,3419,7035,11.19284484407882,0
benign_sample_6858.xlsx,5.752640273820877,136,17009,15235,17009,38,1,14226,28889,11.18195523599675,0
benign_sample_4862.xlsx,5.762452951406874,76,12948,7529,12948,37,1,7195,14303,11.13554749279003,0
benign_sample_6146.xlsx,5.765478101371762,17,4816,1540,4816,37,1,1343,2958,11.27133224831435,0
benign_sample_6306.xlsx,5.746289479399502,110,15649,11762,15649,38,1,11153,22321,11.15728625201649,0
benign_sample_6007.xlsx,5.747346854925668,145,17430,16100,17430,38,1,15437,30783,11.1441583729987,0
benign_sample_2.xlsx,5.751149571092316,189,18226,18962,18226,40,1,18345,36204,11.14616216612587,0
benign_sample_2771.xlsx,5.752491913156228,128,15571,12131,15571,43,1,11074,22234,11.11465713942596,0
benign_sample_2439.xlsx,5.744273282731646,58,13785,8695,13785,37,1,8246,16145,11.03759583452913,0
benign_sample_2943.xlsx,5.751031468868812,115,15996,12342,15996,40,1,11714,23348,11.187296788546,0
benign_sample_237.xlsx,5.75691158390718,162,17903,17724,17903,38,1,16926,33993,11.14032090182447,0
benign_sample_8057.xlsx,5.759714511571936,37,9911,4551,9911,38,1,4265,8574,11.14253446530104,0
benign_sample_6155.xlsx,5.727308378539713,47,10068,4768,10068,37,1,4462,8630,11.09853345554537,0
benign_sample_6788.xlsx,5.752030119895449,163,17109,15247,17109,37,1,14292,28587,11.1685906854171,0
benign_sample_189.xlsx,5.750229171571755,164,17623,16787,17623,42,1,15971,31820,11.12517001108995,0
benign_sample_2826.xlsx,5.747968164559196,55,11202,5337,11202,39,1,5331,10297,11.17705400563092,0
benign_sample_2540.xlsx,5.748307179807206,174,17774,17355,17774,51,1,16219,32632,11.16976111031504,0
benign_sample_2232.xlsx,5.760661037777321,1,681,155,681,31,1,136,266,11.73383084577114,0
benign_sample_9765.xlsx,5.740582013010712,46,9816,4384,9816,36,1,4146,8322,11.20564645492461,0
benign_sample_4020.xlsx,5.747633250149042,98,14936,10272,14936,39,1,9907,19568,11.09675996607294,0
benign_sample_5904.xlsx,5.750715891050643,164,17988,17879,17988,42,1,17053,33981,11.18048751812517,0
benign_sample_1094.xlsx,5.738233287842517,19,5862,1973,5862,33,1,1893,3718,11.03457494207806,0
benign_sample_3844.xlsx,5.750740541747416,291,20104,31419,20104,39,1,30035,59664,11.1205141640375,0
benign_sample_7166.xlsx,5.758206504211539,169,17625,16682,17625,40,1,15916,31847,11.19169650147604,0
benign_sample_8863.xlsx,5.741884614736647,81,14652,9730,14652,39,1,9299,18710,11.14345388982113,0
benign_sample_2851.xlsx,5.741375294489655,82,13930,8775,13930,42,1,8338,16628,11.22803012096451,0
benign_sample_124.xlsx,5.753274766188145,8,3176,948,3176,31,1,818,1738,10.92527386541471,0
benign_sample_7341.xlsx,5.749200068727829,179,18065,18483,18065,40,1,17433,35166,11.18912907089488,0
benign_sample_4528.xlsx,5.745035659785015,77,12380,6757,12380,37,1,6534,12698,11.10024958402662,0
benign_sample_3744.xlsx,5.756486617599109,32,8900,3767,8900,38,1,3543,7196,11.13548747555638,0
benign_sample_5004.xlsx,5.731496908600634,6,2146,575,2146,34,1,530,1064,10.89084065244668,0
benign_sample_8124.xlsx,5.7486186833925,183,18358,20158,18358,38,1,18845,38064,11.10847141928342,0
benign_sample_1710.xlsx,5.749100214665329,28,8575,3460,8575,38,1,3342,6627,11.07342762563948,0
benign_sample_5050.xlsx,5.763937425031785,16,5239,1655,5239,38,1,1554,3180,11.19328263624842,0
benign_sample_2641.xlsx,5.752500998239253,207,18859,21582,18859,38,1,20733,41238,11.12194413515999,0
benign_sample_9766.xlsx,5.761215949720054,53,10561,5130,10561,37,1,4809,9768,11.17150305275434,0
benign_sample_7345.xlsx,5.742006339895644,163,18203,19160,18203,38,1,18214,35967,11.1224229896089,0
benign_sample_5072.xlsx,5.755767141481908,38,9294,3960,9294,40,1,3791,7533,11.11965736488873,0
benign_sample_2217.xlsx,5.741634068370248,82,13629,8501,13629,39,1,7959,15822,11.1135780665237,0
benign_sample_5217.xlsx,5.759280077341717,70,12724,7407,12724,38,1,6878,13839,11.22035043683931,0
benign_sample_2953.xlsx,5.753229857138034,86,13557,8363,13557,36,1,7804,15778,11.26486303112543,0
benign_sample_4971.xlsx,5.748244768177228,309,20027,30902,20027,42,1,29097,57891,11.16075780567435,0
benign_sample_6351.xlsx,5.74168537761163,84,14318,9105,14318,38,1,8833,17327,11.15374617737003,0
benign_sample_5696.xlsx,5.761146455936789,22,7211,2561,7211,34,1,2505,5012,11.16136756684848,0
benign_sample_6400.xlsx,5.759230455544095,48,10822,5158,10822,39,1,4910,9972,11.21361376159118,0
benign_sample_5082.xlsx,5.75749546481031,63,12638,6951,12638,38,1,6787,13441,11.15246193395294,0
benign_sample_150.xlsx,5.749202878670856,211,19091,23129,19091,40,1,21936,43949,11.14771192228884,0
benign_sample_8225.xlsx,5.746396982058627,76,13366,8139,13366,40,1,7690,15208,11.12022884094681,0
benign_sample_3293.xlsx,5.748408401741298,197,19004,22497,19004,43,1,21537,42653,11.13347873500545,0
benign_sample_6123.xlsx,5.750096805817524,69,12871,7650,12871,39,1,7029,14318,11.17192111303696,0
benign_sample_9511.xlsx,5.744151652288028,16,5326,1711,5326,33,1,1628,3247,10.9905641025641,0
benign_sample_4795.xlsx,5.746688426158114,68,13482,8078,13482,38,1,7900,15289,11.06317650610203,0
benign_sample_1182.xlsx,5.754851487959792,68,13245,7959,13245,41,1,7508,15179,11.14717679728479,0
benign_sample_419.xlsx,5.786361555884823,10,3201,874,3201,33,1,777,1742,11.30051607780865,0
benign_sample_9097.xlsx,5.756229725888802,183,17883,17707,17883,42,1,16896,33883,11.14767915870734,0
benign_sample_3682.xlsx,5.758724819944054,64,12474,6907,12474,43,1,6492,13282,11.24355213917265,0
benign_sample_8513.xlsx,5.752010961180818,231,19315,24314,19315,42,1,23165,46447,11.16645118657703,0
benign_sample_1792.xlsx,5.746398924434991,114,16164,12560,16164,37,1,12195,23840,11.10090190092965,0
benign_sample_9120.xlsx,5.752620152087725,107,14624,9935,14624,37,1,9500,18634,11.06628989834364,0
benign_sample_2792.xlsx,5.740147659438996,77,13283,7994,13283,41,1,7506,14864,11.12042914617792,0
benign_sample_3518.xlsx,5.732859707015271,7,4482,1402,4482,35,1,1317,2591,10.99974411463664,0
benign_sample_9034.xlsx,5.751965120170802,236,19286,25084,19286,43,1,23342,47416,11.20522061109698,0
benign_sample_2888.xlsx,5.7489578078586,249,19839,28353,19839,39,1,26924,53860,11.12894880174292,0
benign_sample_3831.xlsx,5.765440223292555,22,8370,3173,8370,38,1,3173,6222,11.14933475252794,0
benign_sample_4422.xlsx,5.743688386757807,107,16017,12575,16017,43,1,11754,23604,11.12633633124045,0
benign_sample_8069.xlsx,5.753408051690278,80,13883,8795,13883,38,1,8318,16549,11.18534604093779,0
benign_sample_8348.xlsx,5.75160028610221,104,15981,12423,15981,38,1,11689,23582,11.18527969153129,0
benign_sample_5748.xlsx,5.754124811606059,64,12278,6894,12278,39,1,6355,12910,11.2807163249416,0
benign_sample_3006.xlsx,5.770465981804948,9,3793,1109,3793,38,1,1007,2100,11.36208561313164,0
benign_sample_3040.xlsx,5.752197304828448,67,13047,7556,13047,39,1,7272,14413,11.10449619552686,0
benign_sample_6818.xlsx,5.745231097435436,96,15271,11094,15271,37,1,10482,21024,11.1321970418333,0
benign_sample_1448.xlsx,5.743548257516049,95,14394,9681,14394,37,1,8952,18234,11.20459059810196,0
benign_sample_4270.xlsx,5.754693079363582,68,11991,6535,11991,38,1,6126,12393,11.14234029915222,0
benign_sample_3898.xlsx,5.747243266711017,65,13210,7760,13210,38,1,7538,14771,11.04231476085885,0
benign_sample_4310.xlsx,5.746456944339712,92,14864,10538,14864,38,1,9688,19702,11.17887036406941,0
benign_sample_9032.xlsx,5.745335020106518,161,17965,18081,17965,39,1,17067,34074,11.12551573101817,0
benign_sample_4675.xlsx,5.746858488235843,25,5776,1936,5776,37,1,1771,3611,11.14325529542921,0
benign_sample_5387.xlsx,5.760618288692648,40,10310,4802,10310,42,1,4612,9126,11.14609113408065,0
benign_sample_9030.xlsx,5.750681884618743,142,17346,15653,17346,43,1,15025,29789,11.10826973713572,0
benign_sample_5203.xlsx,5.729162419562905,14,4628,1404,4628,35,1,1365,2624,11.20330910002507,0
benign_sample_2508.xlsx,5.768292411175046,14,4889,1534,4889,37,1,1451,2884,11.20645905420992,0
benign_sample_9736.xlsx,5.749749964790716,99,15703,11961,15703,38,1,11172,22700,11.20406235238545,0
benign_sample_7068.xlsx,5.740668005793684,57,12198,6692,12198,37,1,6240,12525,11.12603250732747,0
benign_sample_9107.xlsx,5.747652175446841,230,18902,22310,18902,39,1,20823,41953,11.16426659870014,0
benign_sample_645.xlsx,5.748665443498118,133,16989,14708,16989,38,1,14127,27720,11.09534733672665,0
benign_sample_1895.xlsx,5.757947172822985,114,15911,12117,15911,40,1,11562,23155,11.15663795834894,0
benign_sample_1021.xlsx,5.738050531146647,33,7907,3079,7907,32,1,2945,5763,11.10013780431787,0
benign_sample_7233.xlsx,5.749654921080934,144,17109,15384,17109,37,1,14440,29077,11.1424960360319,0
benign_sample_9994.xlsx,5.727359954634949,9,3047,910,3047,33,1,814,1608,10.91742361684558,0
benign_sample_413.xlsx,5.754227856090079,99,14473,9717,14473,45,1,9091,18482,11.20516447249121,0
benign_sample_2059.xlsx,5.758924561231367,30,7571,2840,7571,40,1,2707,5493,11.24036585365854,0
benign_sample_3790.xlsx,5.759065238637367,15,3724,960,3724,35,1,1040,1981,10.88017212843429,0
benign_sample_9361.xlsx,5.755061016464193,21,7330,2626,7330,37,1,2525,5197,11.15009065009065,0
benign_sample_9305.xlsx,5.744096168677326,120,16655,14266,16655,42,1,13150,26486,11.15074679584216,0
benign_sample_7628.xlsx,5.747415122624825,106,16266,13149,16266,40,1,12363,24767,11.17379477511446,0
benign_sample_1966.xlsx,5.754705203265486,201,18513,19905,18513,40,1,18899,37663,11.16267105123581,0
benign_sample_5514.xlsx,5.753988777177539,80,14045,8765,14045,38,1,8478,16863,11.13270983781224,0
benign_sample_4911.xlsx,5.745328856656033,86,14359,9404,14359,40,1,8883,17852,11.1609126613054,0
benign_sample_1314.xlsx,5.74502949912692,56,11588,6140,11588,35,1,5747,11388,11.13772979282171,0
benign_sample_6101.xlsx,5.763738919719861,56,11986,6491,11986,37,1,6103,12288,11.19895601109238,0
benign_sample_4704.xlsx,5.750511642286102,192,19244,23828,19244,44,1,22759,45312,11.15535249959601,0
benign_sample_6899.xlsx,5.746552423861946,242,19517,26694,19517,40,1,25173,50421,11.15436410297113,0
benign_sample_4441.xlsx,5.750779323384152,108,15606,12252,15606,39,1,11319,22794,11.11488288922112,0
benign_sample_2931.xlsx,5.740263719799676,125,15836,12746,15836,40,1,11535,23353,11.07744783306581,0
benign_sample_9622.xlsx,5.759227517183806,91,14181,9126,14181,37,1,8688,17492,11.12929717341482,0
benign_sample_2236.xlsx,5.610213873276797,2,303,72,303,29,1,60,123,10.50273224043716,0
benign_sample_7499.xlsx,5.739854296493861,40,10408,5057,10408,37,1,4555,9306,11.13036577447515,0
benign_sample_9714.xlsx,5.75102481432294,99,15240,11201,15240,37,1,10339,21022,11.14396862344951,0
benign_sample_1403.xlsx,5.74844991879595,49,11400,5837,11400,38,1,5450,11121,11.14567618128055,0
benign_sample_7856.xlsx,5.746372262724996,10,4029,1118,4029,34,1,1160,2202,10.93456276026175,0
benign_sample_5270.xlsx,5.746686682812174,83,14811,10295,14811,40,1,9573,19534,11.2029065173326,0
benign_sample_7909.xlsx,5.758613615378797,5,2881,747,2881,36,1,749,1429,11.04132231404959,0
benign_sample_1082.xlsx,5.752634317456927,116,15807,12099,15807,38,1,11342,22897,11.21171763194019,0
benign_sample_5517.xlsx,5.752111454283588,37,9577,4336,9577,37,1,4019,8168,11.0374169196685,0
benign_sample_8262.xlsx,5.755303877620007,196,17887,17894,17887,39,1,16892,33859,11.13771157218577,0
benign_sample_6161.xlsx,5.756084964495848,95,13754,8557,13754,40,1,8228,16342,11.18148148148148,0
benign_sample_9971.xlsx,5.746143734946711,215,18794,21857,18794,38,1,20418,40889,11.17197057432267,0
benign_sample_6913.xlsx,5.768238754197698,7,4364,1183,4364,40,1,1234,2344,11.35354946897708,0
benign_sample_4199.xlsx,5.75515280213183,28,6412,2248,6412,38,1,2085,4284,11.18919767624431,0
benign_sample_1847.xlsx,5.754134867831027,267,19876,28815,19876,41,1,27362,55102,11.19232634846721,0
benign_sample_9260.xlsx,5.745218070580448,132,16085,12768,16085,41,1,11962,24366,11.19866218894517,0
benign_sample_6791.xlsx,5.751487911688021,252,19822,28461,19822,41,1,26893,53744,11.13812517826804,0
benign_sample_202.xlsx,5.749401289811811,243,19444,26216,19444,43,1,24411,49713,11.16975608439911,0
benign_sample_9488.xlsx,5.745472010332454,265,19679,27868,19679,39,1,26225,52462,11.12984355738559,0
benign_sample_2908.xlsx,5.749562669487298,275,19884,30069,19884,40,1,27843,56264,11.15659814284186,0
benign_sample_9519.xlsx,5.748272523756507,322,20338,35832,20338,44,1,33316,67744,11.18728478131803,0
benign_sample_1343.xlsx,5.753160298903113,59,12088,6569,12088,37,1,6251,12480,11.14201057071165,0
benign_sample_9312.xlsx,5.464998107194746,0,136,23,136,29,1,23,41,11.734375,0
benign_sample_6232.xlsx,5.740656843920162,72,14057,9101,14057,37,1,8495,17018,11.14757182612786,0
benign_sample_2933.xlsx,5.754699636568732,79,13170,7862,13170,37,1,7409,14899,11.10749506903353,0
benign_sample_2458.xlsx,5.762929351681287,21,5980,1929,5980,39,1,1928,3831,11.19708282687967,0
benign_sample_784.xlsx,5.744925368609171,63,13721,8598,13721,38,1,8009,16266,11.22253347064882,0
benign_sample_4184.xlsx,5.745289500214753,168,17408,16349,17408,39,1,15420,30588,11.11458876717093,0
benign_sample_1074.xlsx,5.742391382675034,107,15430,11785,15430,38,1,10737,21874,11.18226978626844,0
benign_sample_3502.xlsx,5.748986063607924,156,17686,16915,17686,40,1,16241,32290,11.09222970884589,0
benign_sample_3791.xlsx,5.758660200072331,111,16109,12518,16109,38,1,12069,24049,11.13101500636802,0
benign_sample_2773.xlsx,5.75020624553369,176,18704,21430,18704,39,1,20250,40650,11.13674876847291,0
benign_sample_7738.xlsx,5.753056896591564,56,11003,5456,11003,36,1,5175,10393,11.12223792394656,0
benign_sample_2842.xlsx,5.757169122439658,28,8722,3464,8722,37,1,3441,6697,11.13444466364174,0
benign_sample_3262.xlsx,5.757841554930134,144,16803,14522,16803,40,1,13824,27823,11.15405671476937,0
benign_sample_1204.xlsx,5.756788992220927,196,18967,22207,18967,39,1,21330,42543,11.20410815211435,0
benign_sample_8248.xlsx,5.755497593572266,203,18241,19275,18241,40,1,18248,36658,11.12461297490256,0
benign_sample_334.xlsx,5.749358820306266,290,19947,30393,19947,40,1,28718,57737,11.15345555491296,0
benign_sample_5195.xlsx,5.741623703571262,74,13208,7546,13208,38,1,7414,14550,11.13804407211801,0
benign_sample_1000.xlsx,5.753191213985325,175,17941,17881,17941,44,1,16843,34448,11.21705562379365,0
benign_sample_2378.xlsx,5.761822585552499,78,13030,7353,13030,37,1,7157,14326,11.18959177023693,0
benign_sample_6435.xlsx,5.754898128455616,62,11763,6171,11763,35,1,5810,11854,11.2463768115942,0
benign_sample_4382.xlsx,5.754837212758843,27,6952,2469,6952,33,1,2295,4755,11.37617021276596,0
benign_sample_9959.xlsx,5.747692761513059,230,19163,23676,19163,39,1,22527,45279,11.17522048196325,0
benign_sample_9417.xlsx,5.740407822758954,28,9312,4060,9312,37,1,3873,7700,11.1079236153115,0
benign_sample_4742.xlsx,5.744631862034188,64,13006,7771,13006,38,1,7264,14429,11.00949615083207,0
benign_sample_3728.xlsx,5.747034134603138,325,20297,35402,20297,40,1,33092,66009,11.15090665079061,0
benign_sample_5382.xlsx,5.722619747625553,32,7087,2713,7087,37,1,2437,4988,10.95434343434343,0
benign_sample_4197.xlsx,5.754170535102076,78,13656,8265,13656,41,1,7987,16036,11.17079465512217,0
benign_sample_8113.xlsx,5.752775413679968,100,15241,11124,15241,38,1,10512,20856,11.12165263963275,0
benign_sample_7689.xlsx,5.750116882760815,160,17776,17441,17776,41,1,16416,32915,11.14281080861933,0
benign_sample_3473.xlsx,5.751396201757354,194,18433,20188,18433,38,1,18797,38032,11.17939784265076,0
benign_sample_1820.xlsx,5.745367257127966,46,10204,4635,10204,39,1,4489,8799,11.07284768211921,0
benign_sample_2808.xlsx,5.752381864482671,154,17017,14916,17017,39,1,14327,28457,11.15629674644727,0
benign_sample_6411.xlsx,5.75027485142108,108,16020,12298,16020,41,1,11773,23297,11.17234103222127,0
benign_sample_9081.xlsx,5.754668422995397,65,12904,7320,12904,37,1,7103,14186,11.19874113391893,0
benign_sample_5614.xlsx,5.753152175216651,143,16863,14411,16863,39,1,13866,27557,11.11945054679767,0
benign_sample_8374.xlsx,5.753305731000381,74,13664,8311,13664,38,1,8093,15830,11.12477532082097,0
benign_sample_8510.xlsx,5.741853296332335,80,14864,10765,14864,37,1,9994,19983,11.10417987123461,0
benign_sample_3443.xlsx,5.75534731991424,40,9324,3949,9324,38,1,3783,7544,11.1470821929902,0
benign_sample_6071.xlsx,5.755277260931921,83,13639,8342,13639,38,1,7923,15964,11.08783020052748,0
benign_sample_6016.xlsx,5.729939578830512,14,3703,1135,3703,39,1,1011,2055,11.05218525766471,0
benign_sample_5823.xlsx,5.749719014633468,236,19322,24268,19322,41,1,23190,45977,11.16624980120578,0
benign_sample_2822.xlsx,5.747722467268662,212,19361,24753,19361,40,1,23751,47020,11.08957058682229,0
benign_sample_9093.xlsx,5.758307896140303,125,16009,12240,16009,40,1,11732,23441,11.13879964745686,0
benign_sample_421.xlsx,5.748796345083671,60,11802,6320,11802,38,1,5902,11885,11.15516950581886,0
benign_sample_3600.xlsx,5.719467255963315,13,3823,1103,3823,34,1,1076,2096,10.98581336696091,0
benign_sample_5443.xlsx,5.746515022136206,150,16970,14812,16970,38,1,14217,28532,11.13532480291937,0
benign_sample_2602.xlsx,5.748355240020399,129,16492,13525,16492,40,1,12769,25830,11.14054768258245,0
benign_sample_6835.xlsx,5.752065676553401,35,7693,2813,7693,35,1,2828,5586,11.15177085809365,0
benign_sample_703.xlsx,5.747045087268587,32,8200,3178,8200,39,1,3103,6092,11.16943991299619,0
benign_sample_5322.xlsx,5.752743200986775,142,17109,14946,17109,38,1,14426,28304,11.1339340042125,0
benign_sample_6394.xlsx,5.748007657783735,37,8180,3241,8180,36,1,3050,6146,11.23575467594606,0
benign_sample_5752.xlsx,5.751847874937147,59,12240,6731,12240,40,1,6309,12654,11.19580235194853,0
