sender_ip,urls,suspicious_words,label
193.120.211.219,"['http://insurancequotesource.com/user0202/termquotes/473400/""><font', 'http://insurancequotesource.com/user0202/termquotes/473400/', 'http://marketing-fashion.com/light/watch.asp"">to']",['click'],1
61.13.195.146,[],[],1
193.120.211.219,[],[],1
65.211.247.226,"['http://www.hebalist.com/p610.html"">', 'http://www.hebalist.com/service.html"">Click']",['click'],1
193.120.211.219,"['http://www.great-meds.com/main2.php?rx=18148"">Enter', 'http://greenzer.com/remove.php""><FONT']",[],1
193.120.211.219,"['http-equiv=""Content-Type""', 'http://theadmanager.com/server/c.asp?ad_key=KQQWKLEYJQPM&ext=1""><img', 'http://www.expro.biz/adfree/img/header_1.gif""', 'http://theadmanager.com/server/c.asp?ad_key=KQQWKLEYJQPM&ext=1""><img', 'http://www.expro.biz/adfree/img/header_2.gif""', 'http://theadmanager.com/server/c.asp?ad_key=KQQWKLEYJQPM&ext=1""><img', 'http://www.expro.biz/adfree/img/header_3.gif""', 'http://theadmanager.com/server/c.asp?ad_key=KQQWKLEYJQPM&ext=1""><img', 'http://www.expro.biz/adfree/img/header_4.gif""', 'http://www.expro.biz/adfree/img/spacer.gif""', 'http://www.expro.biz/adfree/img/spacer.gif""', 'http://theadmanager.com/server/c.asp?ad_key=KQQWKLEYJQPM&ext=1""><img', 'http://www.expro.biz/adfree/img/square_offer.gif""', 'http://www.expro.biz/adfree/img/corner_left_offer.gif""', 'http://www.expro.biz/adfree/img/corner_right_offer.gif""', 'http://theadmanager.com/server/c.asp?ad_key=KQQWKLEYJQPM&ext=1""><img', 'http://www.expro.biz/adfree/img/star.gif""', 'http://www.expro.biz/adfree/img/spacer.gif""', 'http://www.expro.biz/adfree/img/spacer.gif""', 'http://www.expro.biz/adfree/img/spacer.gif""', 'http://theadmanager.com/server/c.asp?ad_key=KQQWKLEYJQPM&ext=1""><img', 'http://www.expro.biz/adfree/img/bott_left.gif""', 'http://www.expro.biz/adfree/img/bott_right.gif""', 'http://www.expro.biz/adfree/img/spacer.gif""', 'http://www.expro.biz/adfree/img/spacer.gif""', 'http://admanmail.com/server/t.asp?ad_key=KQQWKLEYJQPM""', 'http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO"">', 'http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO)']",['click'],1
202.178.214.2,"['http://www.multiplayerpoker.net', 'http://www.MultiPlayerPoker.net', 'http://www.centralremovalservice.com/cgi-bin/poker-remove.cgi']",['click'],1
193.120.211.219,"['http://www.affordable-domains.com', 'http://www.affordable-domains.com/', 'http://www.centralremovalservice.com/cgi-bin/domain-remove.cgi']",['click'],1
200.207.55.243,"['http://dvd.specialdiscounts4u.com/', 'http://dvd.specialdiscounts4u.com/optoutd.html']",[],1
193.120.211.219,[],[],1
194.125.145.45,['http://www.linux.ie/mailman/listinfo/social'],[],1
203.151.38.4,['http://ukprankcalls.com'],[],1
194.125.145.45,"['http://www.smokesdirect.com/?ID=2', 'http://www.linux.ie/mailman/listinfo/ilug']",[],1
65.217.159.66,"['http://www.insuranceiq.com/optout', 'http://www.insuranceiq.com/optout/>', 'http://www.insiq.com/legal.htm>']",[],1
193.120.211.219,[],['bank'],1
193.120.211.219,"['http://11.lspeedhost.net/zzzzcards/ads', 'http://11.lspeedhost.net/zzzzcards/ads']",[],1
193.120.211.219,"['http://168.75.161.77/systemworkse123.htm', 'http://168.75.161.77/removeme.html']",['click'],1
193.120.211.219,"['http://202.101.163.34:81/li/dws8848/', 'http://64.123.160.91:81/li/gg/unsubscriber.asp?userid=zzzz@example.com']",['click'],1
213.193.13.92,['http://mobile.lycos.fr/mobile/local/sms_musicaux/'],['urgent'],1
24.201.245.36,[],[],1
193.120.211.219,"['http://www.gardenornaments.adv@hellerwhirligigs.com/', 'http://www.gardenornaments.adv@hellerwhirligigs.com/remove.html']",['click'],1
193.120.211.219,"['http://www.frugaljoe.com""><IMG', 'http://www.frugaljoe.com/logo.jpg""', 'http://www.salealerts.com/dot.gif""', 'http://www.salealerts.com/dot.gif""', 'http://www.salealerts.com/dot.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/se2/email/online_ad/chdvd_header_new.gif""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><i>Details</i></a></font><BR><BR></td>', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/se2/email/online_ad/left_curve_new.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/se2/email/online_ad/right_curve_new.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><img', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/content/art/dvd/cover/02/69/026993_dba_dtl_01.jpg""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><img', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/content/art/dvd/cover/02/70/027035_dba_dtl_01.jpg""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><img', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/content/art/dvd/cover/02/52/025208_dba_dtl_01.jpg""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/se2/email/online_ad/left_curve_new.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/se2/email/online_ad/right_curve_new.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><img', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/content/art/dvd/cover/02/70/027094_dba_dtl_01.jpg""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><img', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/content/art/dvd/cover/02/64/026476_dba_dtl_01.jpg""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><img', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/content/art/dvd/cover/02/62/026224_dba_dtl_01.jpg""', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://adfarm.mediaplex.com/ad/ck/990-1736-5138-61""><font', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://a248.e.akamai.net/f/1596/1167/1d/images.columbiahouse.com/ch/images/demo/email/clear.gif""', 'http://www.frugaljoe.com""><IMG', 'http://www.frugaljoe.com/logo.jpg""', 'http://www.salealerts.com/dot.gif""', 'http://www.frugaljoe.com/unsubscribe.php?eid=\\~moc.cnietonten^^mj\\~1754388\\~12a1"">here', 'http://www.frugaljoe.com/unsubscribe.php?eid=\\~moc.cnietonten^^mj\\~1754388\\~12a1', 'http://www.salealerts.com/dot.gif""', 'http://www.330w.com/open/open.php?eid=zzzz@example.com&oid=DVD-09242002-HTML&custid=frugaljoe""']",['click'],1
193.120.211.219,"['http://www.2003marketing.net/grant.htm"">Order']","['bank', 'click']",1
211.138.13.227,"['http://202.108.221.18/www282/pos/dvd.htm"">click', 'http://202.108.221.18/www282/optoutd.htm"">click']",['click'],1
65.217.159.66,"['http://www.InsuranceIQ.com/optout', 'http://www.InsuranceIQ.com/optout>', 'http://www.insuranceiq.com/legal.htm>']",[],1
65.217.159.66,"['http://www.fsfginc.com>', 'http://www.InsuranceIQ.com/optout', 'http://www.insiq.com/legal.htm>']",[],1
212.23.14.40,"['http-equiv=""Content-Type""', 'http://www.3dpageturningebook.com""', 'http://www.3dpageturningebook.com""', 'http://www.3dpageturningebook.com"">WEBSITE', 'http://TheyGo.com/FreeSoftware"">WEBSITE', 'http://www.digitalpublishingtools.com"">WEBSITE', 'http://www.3dpageturningebook.com/unsubscribe.asp""']",['click'],1
193.120.211.219,"['http://www.ahamembership.com/cgi-bin/check_opens.cgi?acct_code=SG004""', 'http://www.ahamembership.com/assoc_images/7.3-header-PDA.gif""', 'http://www.ahamembership.com/assoc_images/red-vertical.gif"">', 'http://theadmanager.com/server/c.asp?ad_key=IAMVQXAAASEN&ext=1""', 'http://theadmanager.com/server/c.asp?ad_key=IAMVQXAAASEN&ext=1""', 'http://theadmanager.com/server/c.asp?ad_key=IAMVQXAAASEN&ext=1"">Act', 'http://theadmanager.com/server/c.asp?ad_key=IAMVQXAAASEN&ext=1""', 'http://www.ahamembership.com/assoc_images/pdaimage.gif""', 'http://theadmanager.com/server/c.asp?ad_key=IAMVQXAAASEN&ext=1""', 'http://theadmanager.com/server/c.asp?ad_key=IAMVQXAAASEN&ext=1""', 'http://theadmanager.com/server/c.asp?ad_key=IAMVQXAAASEN&ext=1""', 'http://www.ahamembership.com/assoc_images/red-button.gif""', 'http://www.ahamembership.com/assoc_images/red-vertical.gif"">', 'http://www.ahamembership.com/assoc_images/red-bottom.gif""', 'http://admanmail.com/server/t.asp?ad_key=IAMVQXAAASEN""', 'http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO"">', 'http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO)']","['password', 'click']",1
193.120.211.219,"['http://32.97.166.75/seinet.veri321/"">', 'http://http://32.97.166.75/seinet.veri321/', 'http://32.97.166.75/seinet.veri321/"">', 'http://http://32.97.166.75/seinet.veri321/']",['click'],1
193.120.211.219,"['http://www.basetel.com:27000/wealthnow', 'http://www.basetel.com/remove.html']",['click'],1
193.120.211.219,[],[],1
194.125.145.45,"['http://www.hotresponders.com/cgi-bin/varpro/r.cgi?id=keegan007&a=ilug@linux.ie', 'http://www.hotresponders.com/cgi-bin/varpro/r.cgi?id=keegan007&a=ilug@linux.ie"">', 'http://www.linux.ie/mailman/listinfo/ilug']",['click'],1
194.125.145.45,"['http://61.151.247.39/erik/', 'http://61.151.247.39/erik/remove.asp', 'http://www.linux.ie/mailman/listinfo/ilug']",['click'],1
213.9.245.86,['http://www.cheapsmoking.com/?ID=2'],[],1
193.120.211.219,"['http://www.generaledu.com/ebayepubs"">visit', 'http://168.75.161.164/ebayepubs/"">alternate.</a></font></p>', 'http://www.generaledu.com/remove.html"">GO', 'http-equiv=""Content-Type""']",[],1
193.120.211.219,"['http://6.lspeedhost.net/wfs/?aid=283360"">CLICK', 'http://16.lspeedhost.net/alw/takemeoff.html"">CLICK']",['click'],1
193.120.211.219,"['http-equiv=""Content-Type""', 'http://3dpageturningebook.com""', 'http://3dpageturningebook.com""', 'http://3dpageturningebook.com"">WEBSITE', 'http://TheyGo.com/FreeSoftware"">WEBSITE', 'http://www.digitalpublishingtools.com"">WEBSITE', 'http://www.3dpageturningebook.com/unsubscribe.asp""']",['click'],1
216.136.204.119,['http://book-i.net/mutou'],[],1
193.120.211.219,['http://new.isp.50megs.com/'],[],1
193.120.211.219,"['http://%31%30%31%31%30%31%31%31%30%31%31%31%31%30%31%30%31%30%31%30%31%30%31%31%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%31%30%31%30%31%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%30%31%31%30%30%30%31%30%31%31%30%31%31%31%30%31%30%31%30%31%30%31%30%31%30%30%30%31%31%30%31%30%31%30%31%31%30%31%30%31%30%31%30%31%31%30%31@%34%2E%34%37%2E%39%36%2E%31%34%31/msga.html"">']",['click'],1
64.200.6.66,"['http://www.inkjetrus.com/customer!.html""><img', 'http://www.inkjetrus.com/clip%20art/toper.jpg""', 'http://www.inkjetrus.com/customer!.html"">', 'http://www.inkjetrus.com/clip%20art/specs.gif""', 'http://www.inkjetrus.com/customer!.html"">', 'http://www.inkjetrus.com/clip%20art/clicknow.gif""', 'http://www.inkjetrus.com/customer!.html""', 'http://www.inkjetrus.com/customer!.html</a></p>', 'http://www.inkjetrus.com/customer!.html""><img', 'http://www.inkjetrus.com/clip%20art/toper.jpg""', 'http://www.inkjetrus.com/customer!.html"">', 'http://www.inkjetrus.com/clip%20art/specs.gif""', 'http://www.inkjetrus.com/customer!.html"">', 'http://www.inkjetrus.com/clip%20art/clicknow.gif""', 'http://www.inkjetrus.com/customer!.html""', 'http://www.inkjetrus.com/customer!.html</a></p>']",['click'],1
208.57.0.10,"['http://www.radisson-chicago.com""']",[],1
193.120.211.219,"['http://www.frugaljoe.com""><IMG', 'http://www.frugaljoe.com/logo.jpg""', 'http://www.salealerts.com/dot.gif""', 'http://www.salealerts.com/dot.gif""', 'http://www.salealerts.com/dot.gif""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_01.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_02.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_03.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_04.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_05.gif""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_06.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_07.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_08.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_09.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_10.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_11.gif""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_12.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_13.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_14.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_15.gif""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_16.jpg""', 'http://www.prizeinthebag.net/page4/default.asp?btag=MS_262100_267100_183556""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_17.gif""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_18.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_19.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_20.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_21.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_22.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_23.jpg""', 'http://www.prizeinthebag.net/page8/default.asp?btag=MS_179300_267100_183615""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_24.gif""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_25.jpg""', 'http://www.prizeinthebag.net/images/RV/movie/Oceans-11_c_26.jpg""', 'http://www.frugaljoe.com""><IMG', 'http://www.frugaljoe.com/logo.jpg""', 'http://www.salealerts.com/dot.gif""', 'http://www.frugaljoe.com/unsubscribe.php?eid=340329\\~moc.cnietonten^^mj\\~1754388\\~12a1"">here', 'http://www.frugaljoe.com/unsubscribe.php?eid=340329\\~moc.cnietonten^^mj\\~1754388\\~12a1', 'http://www.salealerts.com/dot.gif""', 'http://www.330w.com/open/open.php?eid=zzzz@example.com&oid=Casino-09242002-HTML&custid=frugaljoe""']",['click'],1
203.231.125.130,"['http-equiv=""Content-Type""', 'http://www.234sj.com/cellbooster/welcome.html?affid=1003"">Click', 'http://234sj.com/remove/"">click']",['click'],1
193.120.211.219,"['http-equiv=Content-Type', 'http://www.fromyou2.com/nasty/milf/bg.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><IMG', 'http://www.fromyou2.com/nasty/milf/1.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-041.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-054.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-056.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-057.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-074.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-142.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-156.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-148.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-084.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-137.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-093.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-143.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-117.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-010.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-025.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/amber-029.jpg""', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><FONT', 'http://www.fromyou2.com/nasty/milf/milf/bindex.htm""><BR>', 'http://www.fromyou2.com/herbalo/bpenis/index.html""><font', 'http://www.wowthisiscool.net:81/removal/boca/"">Click']",['click'],1
218.98.0.27,"['http://sam.hostcentrel.com/norton/', 'http://sam.hostcentrel.com/mtg/optout.html']",[],1
208.201.224.39,['http://web.kuhleersparnis.ch/hgh/index.html'],['click'],1
193.120.211.219,"['http://quotes.readyserve21.com/sure_quote/', 'http://quotes.readyserve21.com/sure_quote/', 'http://quotes.readyserve21.com/sure_quote/rm/']",['click'],1
61.142.80.201,"['http://vicky.mothost.com/euro1/', 'http://vicky.mothost.com/euro1/', 'http://vicky.mothost.com/euro1/optout.html']",[],1
